price,m2,beds,bath,laundry,pets,housing_type,parking,hood_district
2900,6.0415818255961735,1.0,1.0,(b) on-site,(d) no pets,(c) multi,(d) no parking,7.0
3700,9.062372738394261,2.0,1.0,(b) on-site,(a) both,(c) multi,(b) protected,7.0
5000,10.70223066248465,3.0,2.0,(b) on-site,(d) no pets,(c) multi,(b) protected,5.0
2200,4.315415589711552,1.0,1.0,(b) on-site,(a) both,(c) multi,(d) no parking,7.0
3100,4.841896291656362,1.0,1.0,(c) no laundry,(a) both,(c) multi,(d) no parking,7.0
2137,4.142798966123091,2.0,1.0,(b) on-site,(a) both,(c) multi,(d) no parking,8.0
1895,4.315415589711552,1.0,1.0,(a) in-unit,(d) no pets,(c) multi,(d) no parking,10.0
2100,4.315415589711552,0.0,1.0,(b) on-site,(a) both,(c) multi,(d) no parking,5.0
4500,13.256956691593889,3.0,2.0,(c) no laundry,(a) both,(a) single,(b) protected,3.0
5950,18.124745476788522,3.0,2.0,(a) in-unit,(d) no pets,(c) multi,(d) no parking,9.0
2702,9.502545128544838,1.0,2.0,(b) on-site,(a) both,(c) multi,(d) no parking,9.0
4595,12.083163651192347,4.0,1.5,(a) in-unit,(d) no pets,(c) multi,(d) no parking,6.0
1250,1.726166235884621,1.0,1.0,(b) on-site,(d) no pets,(c) multi,(d) no parking,2.0
3150,7.940364685069257,1.0,1.0,(b) on-site,(d) no pets,(c) multi,(b) protected,8.0
4995,12.946246769134659,3.0,2.0,(a) in-unit,(a) both,(c) multi,(c) off-street,5.0
3807,13.740283237641584,2.0,2.0,(a) in-unit,(a) both,(c) multi,(d) no parking,10.0
5700,12.946246769134659,3.0,2.0,(a) in-unit,(a) both,(c) multi,(b) protected,9.0
3900,10.823062298996573,2.0,1.5,(a) in-unit,(a) both,(c) multi,(b) protected,9.0
2650,6.0415818255961735,1.0,1.0,(b) on-site,(d) no pets,(c) multi,(d) no parking,4.0
2600,4.816003798118093,1.0,1.0,(a) in-unit,(d) no pets,(c) multi,(d) no parking,8.0
2700,7.33620650250964,2.0,1.0,(c) no laundry,(d) no pets,(c) multi,(b) protected,2.0
1950,5.178498707653863,1.0,1.0,(b) on-site,(d) no pets,(b) double,(d) no parking,2.0
4500,10.75401564956119,2.0,2.0,(a) in-unit,(d) no pets,(c) multi,(b) protected,6.0
4050,10.356997415307726,3.0,1.5,(a) in-unit,(c) cats,(c) multi,(d) no parking,9.0
2750,5.411531149498287,1.0,1.0,(a) in-unit,(c) cats,(c) multi,(d) no parking,9.0
3500,6.904664943538484,1.0,1.0,(b) on-site,(d) no pets,(c) multi,(c) off-street,7.0
3700,8.630831179423105,2.0,1.0,(a) in-unit,(d) no pets,(c) multi,(d) no parking,7.0
1695,4.315415589711552,0.0,1.0,(b) on-site,(d) no pets,(c) multi,(d) no parking,8.0
3600,11.047463909661575,3.0,2.0,(b) on-site,(d) no pets,(c) multi,(d) no parking,2.0
2100,4.746957148682708,0.0,1.0,(c) no laundry,(d) no pets,(c) multi,(d) no parking,7.0
3698,7.767748061480795,3.0,1.0,(b) on-site,(a) both,(c) multi,(d) no parking,9.0
2300,5.178498707653863,1.0,1.0,(b) on-site,(a) both,(c) multi,(b) protected,2.0
5000,18.124745476788522,6.0,3.0,(c) no laundry,(d) no pets,(c) multi,(d) no parking,2.0
4495,10.356997415307726,2.0,2.0,(a) in-unit,(d) no pets,(c) multi,(b) protected,9.0
4150,7.284421515433101,2.0,2.0,(a) in-unit,(d) no pets,(c) multi,(b) protected,9.0
2890,4.194583953199629,0.0,1.0,(a) in-unit,(a) both,(c) multi,(b) protected,9.0
2995,6.990973255332715,2.0,1.0,(b) on-site,(c) cats,(c) multi,(d) no parking,5.0
1950,3.9701823425346285,0.0,1.0,(b) on-site,(c) cats,(c) multi,(d) no parking,8.0
3990,4.315415589711552,1.0,1.0,(a) in-unit,(a) both,(c) multi,(b) protected,9.0
5200,14.67241300501928,4.0,2.0,(a) in-unit,(a) both,(c) multi,(b) protected,6.0
4991,7.871318035633872,2.0,2.0,(c) no laundry,(d) no pets,(c) multi,(d) no parking,9.0
5400,13.809329887076968,3.0,2.0,(a) in-unit,(d) no pets,(c) multi,(d) no parking,7.0
3900,8.19928962045195,2.0,2.0,(b) on-site,(a) both,(c) multi,(b) protected,9.0
1691,2.0023528336261602,0.0,1.0,(b) on-site,(d) no pets,(c) multi,(b) protected,9.0
3107,5.955273513801942,1.0,1.0,(a) in-unit,(a) both,(c) multi,(b) protected,9.0
3900,13.222433366876198,2.0,2.0,(a) in-unit,(d) no pets,(c) multi,(b) protected,8.0
2246,4.108275641405398,0.0,1.0,(a) in-unit,(a) both,(c) multi,(b) protected,2.0
3300,7.905841360351564,1.0,1.0,(a) in-unit,(d) no pets,(c) multi,(b) protected,9.0
2610,5.989796838519635,1.0,1.0,(a) in-unit,(a) both,(c) multi,(b) protected,9.0
3800,6.904664943538484,2.0,1.0,(b) on-site,(c) cats,(c) multi,(b) protected,9.0
2495,4.16869145966136,2.0,1.0,(b) on-site,(b) dogs,(c) multi,(d) no parking,8.0
3044,6.481754215746752,1.0,1.0,(a) in-unit,(a) both,(c) multi,(d) no parking,9.0
2483,3.7371499006902043,0.0,1.0,(a) in-unit,(a) both,(c) multi,(b) protected,9.0
2680,5.100821227039055,1.0,1.5,(a) in-unit,(a) both,(c) multi,(b) protected,9.0
2450,5.610040266625019,1.0,1.0,(b) on-site,(c) cats,(c) multi,(b) protected,6.0
4400,12.083163651192347,4.0,2.5,(a) in-unit,(a) both,(c) multi,(c) off-street,7.0
3050,6.214198449184636,2.0,1.0,(a) in-unit,(c) cats,(a) single,(d) no parking,9.0
4000,15.53549612296159,2.0,2.5,(a) in-unit,(c) cats,(c) multi,(b) protected,9.0
5995,14.67241300501928,3.0,2.0,(a) in-unit,(a) both,(c) multi,(d) no parking,1.0
3995,8.19928962045195,2.0,2.0,(b) on-site,(d) no pets,(c) multi,(b) protected,7.0
5200,10.279319934692918,2.0,2.0,(a) in-unit,(d) no pets,(c) multi,(a) valet,9.0
3900,10.037656661669072,2.0,2.0,(a) in-unit,(a) both,(c) multi,(b) protected,9.0
3250,7.189482372459447,2.0,1.0,(a) in-unit,(a) both,(c) multi,(b) protected,9.0
2660,5.307961175345209,1.0,1.0,(b) on-site,(a) both,(c) multi,(c) off-street,5.0
4500,8.630831179423105,1.0,1.5,(b) on-site,(b) dogs,(c) multi,(b) protected,7.0
4500,7.905841360351564,2.0,2.0,(a) in-unit,(d) no pets,(c) multi,(b) protected,7.0
3107,8.251074607528489,1.0,1.0,(a) in-unit,(a) both,(c) multi,(b) protected,9.0
2700,5.825811046110596,2.0,1.0,(c) no laundry,(d) no pets,(c) multi,(d) no parking,8.0
2786,3.66810325125482,1.0,1.0,(c) no laundry,(d) no pets,(c) multi,(d) no parking,9.0
3190,7.249898190715408,2.0,1.0,(b) on-site,(c) cats,(c) multi,(d) no parking,8.0
1820,4.453508888582323,0.0,1.0,(a) in-unit,(a) both,(c) multi,(d) no parking,9.0
2800,5.178498707653863,1.0,1.0,(a) in-unit,(a) both,(c) multi,(b) protected,8.0
5900,12.514705210163502,3.0,2.0,(a) in-unit,(d) no pets,(c) multi,(c) off-street,5.0
